Name,Path,Cost
personal-website,c:\Users\Abel\Documents\Personal\Projects\Personal Websites\personal-website,617
leector,c:\Users\Abel\Documents\Personal\Projects\Freelance\ProyectoMolina\leector,237
personal-website,c:\Users\Abel\Documents\Personal\Projects\Personal Website\personal-website,86
learning-platform,c:\Users\Abel\Documents\Personal\Projects\Learning Platform\learning-platform,78
unknown,unknown,72
Curriculum,c:\Users\Abel\Google Drive\Personal\Documentos\Curriculum,56.00
wesay-dashboard,c:\Users\Abel\Documents\Personal\Binmatter\WeSay\wesay-dashboard,12.00
wesay-web,c:\Users\Abel\Documents\Personal\Binmatter\WeSay\wesay-web,11.00
Proyecto A,c:\Users\Abel\Desktop\Proyecto A,6.00
portafolio-web,c:\Users\Abel\Desktop\portafolio-web,5.00
ruba-clientes-app,e:\Backups\Abel\Personal Files\Binmatter Projects\ruba-clientes-app,5.00
Curriculum,c:\Users\Abel\Desktop\Curriculum,4.00
ruba-clients,c:\Users\Abel\Documents\Personal\Binmatter\Ruba\ruba-clients,3.00
workwise-app,e:\Backups\Abel\Personal Files\Binmatter Projects\workwise-app,1.00
input-app,e:\Backups\Abel\Personal Files\Binmatter Projects\input-app,1.00
indiesmx-web,c:\Users\Abel\Documents\Personal\Binmatter\Indies\indiesmx-web,1.00
multiplayer-pong,c:\Users\Abel\Documents\Personal\Projects\Multiplayer Pong\multiplayer-pong,0.90
